danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.486,0.482,8,-8.024,0,0.256,0.231,0.0,0.0899,0.588,79.105,audio_features,6oSbP5gKitMD68unKZNPIY,spotify:track:6oSbP5gKitMD68unKZNPIY,https://api.spotify.com/v1/tracks/6oSbP5gKitMD68unKZNPIY,https://api.spotify.com/v1/audio-analysis/6oSbP5gKitMD68unKZNPIY,184750,4
0.628,0.472,3,-9.536,0,0.0709,0.214,0.00877,0.094,0.279,90.22,audio_features,6Tbg3l7BPlqScXn2wP2n6l,spotify:track:6Tbg3l7BPlqScXn2wP2n6l,https://api.spotify.com/v1/tracks/6Tbg3l7BPlqScXn2wP2n6l,https://api.spotify.com/v1/audio-analysis/6Tbg3l7BPlqScXn2wP2n6l,250000,4
0.622,0.732,4,-6.308,0,0.0317,0.361,0.215,0.196,0.518,94.028,audio_features,61PpCWRhQJYm59vwJtnF6d,spotify:track:61PpCWRhQJYm59vwJtnF6d,https://api.spotify.com/v1/tracks/61PpCWRhQJYm59vwJtnF6d,https://api.spotify.com/v1/audio-analysis/61PpCWRhQJYm59vwJtnF6d,193057,3
0.529,0.523,4,-7.462,1,0.0557,0.146,3.47e-06,0.155,0.212,81.24,audio_features,2NPd1DewlYrLD77mkaYI0h,spotify:track:2NPd1DewlYrLD77mkaYI0h,https://api.spotify.com/v1/tracks/2NPd1DewlYrLD77mkaYI0h,https://api.spotify.com/v1/audio-analysis/2NPd1DewlYrLD77mkaYI0h,292394,4
0.809,0.565,9,-4.763,1,0.0352,0.122,0.0,0.106,0.668,115.056,audio_features,56hpaCf8JTTxWVqTkKiHa6,spotify:track:56hpaCf8JTTxWVqTkKiHa6,https://api.spotify.com/v1/tracks/56hpaCf8JTTxWVqTkKiHa6,https://api.spotify.com/v1/audio-analysis/56hpaCf8JTTxWVqTkKiHa6,214565,4
0.709,0.42,7,-8.885,0,0.0345,0.0942,0.0,0.187,0.345,101.985,audio_features,5kTxJ4iSPbxT7cFkUuhOIq,spotify:track:5kTxJ4iSPbxT7cFkUuhOIq,https://api.spotify.com/v1/tracks/5kTxJ4iSPbxT7cFkUuhOIq,https://api.spotify.com/v1/audio-analysis/5kTxJ4iSPbxT7cFkUuhOIq,194106,4
0.673,0.772,8,-5.982,1,0.326,0.0486,3.25e-06,0.201,0.667,90.967,audio_features,4zRRGFA5LvwG8LTpTy5WuQ,spotify:track:4zRRGFA5LvwG8LTpTy5WuQ,https://api.spotify.com/v1/tracks/4zRRGFA5LvwG8LTpTy5WuQ,https://api.spotify.com/v1/audio-analysis/4zRRGFA5LvwG8LTpTy5WuQ,248000,4
0.319,0.752,7,-5.607,1,0.183,0.524,4.71e-05,0.396,0.885,195.361,audio_features,1v6bHfpBDaWD6tq8EE8AYG,spotify:track:1v6bHfpBDaWD6tq8EE8AYG,https://api.spotify.com/v1/tracks/1v6bHfpBDaWD6tq8EE8AYG,https://api.spotify.com/v1/audio-analysis/1v6bHfpBDaWD6tq8EE8AYG,204480,4
0.652,0.697,5,-5.76,1,0.0534,0.0167,0.000313,0.0727,0.432,115.992,audio_features,4eunWxltbJXWnaWIP2kyup,spotify:track:4eunWxltbJXWnaWIP2kyup,https://api.spotify.com/v1/tracks/4eunWxltbJXWnaWIP2kyup,https://api.spotify.com/v1/audio-analysis/4eunWxltbJXWnaWIP2kyup,215632,4
0.748,0.668,7,-7.272,1,0.202,0.255,1.19e-06,0.145,0.924,100.584,audio_features,50hI5ZXc0HC6igFXqrZ0xw,spotify:track:50hI5ZXc0HC6igFXqrZ0xw,https://api.spotify.com/v1/tracks/50hI5ZXc0HC6igFXqrZ0xw,https://api.spotify.com/v1/audio-analysis/50hI5ZXc0HC6igFXqrZ0xw,235499,4
0.663,0.386,5,-9.962,0,0.298,0.138,1.66e-06,0.397,0.497,74.907,audio_features,3FIilUrD4bZefAS6O9OUE6,spotify:track:3FIilUrD4bZefAS6O9OUE6,https://api.spotify.com/v1/tracks/3FIilUrD4bZefAS6O9OUE6,https://api.spotify.com/v1/audio-analysis/3FIilUrD4bZefAS6O9OUE6,210547,4
