,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
139,0.745,0.622,-6.892,0.128,0.0992,0.0,0.0832,0.557,140.082,3
140,0.621,0.411,-8.261,0.0333,0.0553,0.0,0.0816,0.357,110.113,0
141,0.62,0.396,-15.498,0.206,0.735,0.000985,0.0976,0.774,87.865,2
142,0.528,0.683,-4.074,0.263,0.26,0.0,0.0857,0.539,134.92,2
143,0.468,0.52,-7.964,0.0329,0.246,0.00259,0.078,0.46,174.082,0
144,0.618,0.474,-12.097,0.0789,0.182,0.000122,0.108,0.397,119.999,0
145,0.502,0.407,-8.409,0.177,0.811,1.44e-06,0.191,0.387,142.978,0
146,0.729,0.74,-4.12,0.0556,0.193,0.0,0.132,0.857,139.01,3
147,0.689,0.668,-7.301,0.0409,0.692,0.0199,0.108,0.68,87.984,0
148,0.854,0.786,-4.565,0.136,0.154,0.0,0.0825,0.498,120.006,3
149,0.781,0.832,-4.689,0.0837,0.133,0.0,0.172,0.692,134.674,3
150,0.756,0.554,-7.166,0.145,0.211,0.0,0.274,0.563,120.028,3
151,0.574,0.369,-8.931,0.0814,0.753,0.0,0.147,0.44,84.975,0
152,0.739,0.58,-7.414,0.0637,0.0395,0.0,0.114,0.452,96.501,3
153,0.618,0.712,-8.246,0.114,0.14,4.53e-06,0.575,0.305,97.057,0
154,0.786,0.536,-7.955,0.0526,0.253,0.000172,0.183,0.375,119.043,0
155,0.464,0.445,-8.507,0.238,0.215,0.0,0.495,0.181,94.14,2
156,0.707,0.618,-5.825,0.19,0.17,0.0,0.293,0.517,133.876,2
157,0.617,0.378,-8.54,0.0315,0.428,9.16e-05,0.11,0.22,141.967,0
158,0.563,0.756,-3.852,0.0579,0.196,0.0,0.245,0.234,100.012,0
159,0.553,0.727,-6.905,0.0348,0.0254,0.0113,0.107,0.286,173.972,0
160,0.428,0.443,-8.955,0.101,0.525,1.76e-05,0.219,0.2,87.934,0
161,0.53,0.937,-2.757,0.321,0.0457,0.0,0.151,0.46,92.916,2
162,0.67,0.41,-13.444,0.0381,0.241,8.55e-06,0.167,0.46,127.972,0
163,0.69,0.494,-7.41,0.0378,0.572,0.00068,0.129,0.283,79.955,0
164,0.505,0.249,-14.879,0.139,0.115,0.0,0.155,0.207,115.815,0
165,0.52,0.546,-4.991,0.213,0.579,0.0,0.112,0.634,137.419,2
166,0.708,0.793,-2.518,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005,3
167,0.698,0.603,-6.508,0.106,0.11,0.0,0.0786,0.91,86.998,3
168,0.708,0.673,-4.163,0.0585,0.499,0.000233,0.103,0.311,136.969,0
169,0.721,0.364,-7.81,0.0483,0.673,5.4e-05,0.105,0.4,94.098,0
170,0.504,0.267,-13.678,0.406,0.438,0.0,0.141,0.392,83.966,2
171,0.346,0.571,-5.724,0.0762,0.00718,0.0,0.135,0.463,82.67,0
172,0.59,0.622,-7.537,0.0803,0.654,0.0,0.425,0.311,89.909,0
173,0.771,0.577,-5.327,0.0713,0.473,0.0,0.141,0.326,120.019,0
174,0.662,0.655,-5.44,0.26,0.462,0.0,0.124,0.356,82.079,2
175,0.65,0.647,-4.387,0.0562,0.088,0.0,0.123,0.554,114.968,3
176,0.565,0.364,-9.512,0.2,0.328,0.0,0.108,0.527,155.705,2
177,0.62,0.63,-5.578,0.198,0.171,0.0,0.0824,0.543,85.42,2
178,0.39,0.607,-8.056,0.303,0.632,0.000162,0.138,0.347,161.625,2
179,0.662,0.516,-5.143,0.0375,0.0167,0.0003,0.134,0.181,87.099,0
180,0.596,0.458,-8.556,0.0677,0.814,0.000125,0.0812,0.353,99.381,0
181,0.615,0.322,-10.408,0.0282,0.77,3.39e-05,0.11,0.256,113.064,0
182,0.469,0.623,-4.432,0.0302,0.345,0.0,0.588,0.198,134.943,0
183,0.535,0.388,-9.805,0.155,0.507,0.0,0.11,0.412,106.703,0
184,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,3
185,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,0
186,0.903,0.535,-6.434,0.0742,0.297,0.0,0.345,0.508,130.022,3
187,0.442,0.517,-7.807,0.0548,0.0699,0.0,0.114,0.2,79.867,0
188,0.74,0.576,-6.744,0.146,0.0249,0.0,0.104,0.315,110.095,0
189,0.835,0.691,-5.828,0.113,0.0159,1.44e-05,0.108,0.581,103.999,3
190,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,0
191,0.637,0.299,-11.314,0.0366,0.742,0.0,0.359,0.364,83.872,0
192,0.726,0.728,-5.775,0.0408,0.239,0.0,0.177,0.566,115.047,3
193,0.523,0.543,-8.39,0.156,0.65,0.0,0.257,0.318,116.161,0
194,0.677,0.541,-6.057,0.0571,0.48,0.0,0.125,0.379,103.369,0
195,0.699,0.689,-4.336,0.0581,0.289,1.62e-05,0.238,0.599,98.95,3
196,0.807,0.481,-7.362,0.0713,0.0264,1.28e-06,0.112,0.748,91.005,3
197,0.629,0.579,-6.543,0.107,0.811,0.00366,0.0813,0.363,135.86,0
198,0.422,0.377,-6.7,0.0376,0.315,0.0,0.107,0.227,128.441,0
199,0.685,0.572,-5.685,0.147,0.11,0.0,0.183,0.275,117.336,0
200,0.367,0.142,-12.717,0.0319,0.913,0.00367,0.107,0.1,69.827,0
201,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,3
202,0.805,0.51,-6.179,0.0569,0.0357,0.000469,0.108,0.36,127.983,0
203,0.651,0.703,-8.958,0.0816,0.0297,0.0,0.0608,0.647,140.051,3
204,0.667,0.471,-6.64,0.0332,0.701,3.29e-06,0.105,0.456,82.954,0
205,0.668,0.743,-4.524,0.339,0.185,0.0,0.151,0.365,126.68,2
206,0.388,0.448,-5.221,0.0341,0.851,0.0,0.302,0.397,142.342,0
207,0.576,0.577,-4.655,0.137,0.663,2.98e-06,0.109,0.37,111.119,0
208,0.73,0.634,-7.191,0.181,0.107,1.44e-05,0.0976,0.798,171.874,2
209,0.726,0.353,-10.273,0.105,0.65,0.002,0.224,0.503,137.66,0
210,0.599,0.776,-5.248,0.238,0.472,0.0,0.118,0.551,114.653,2
211,0.815,0.606,-4.496,0.0586,0.543,2.03e-05,0.114,0.484,114.009,0
212,0.651,0.523,-5.445,0.0593,0.548,0.0,0.263,0.411,120.886,0
213,0.6,0.663,-7.574,0.19,0.137,0.0,0.109,0.475,80.092,2
214,0.65,0.76,-4.422,0.0446,0.255,0.0,0.339,0.838,93.057,3
215,0.555,0.851,-3.352,0.148,0.0706,0.00495,0.129,0.779,83.909,3
216,0.565,0.464,-7.604,0.0581,0.777,0.0227,0.124,0.337,145.775,0
217,0.461,0.279,-11.776,0.0373,0.911,0.0,0.205,0.599,114.225,0
218,0.702,0.472,-7.282,0.0967,0.389,0.0,0.112,0.39,122.083,0
219,0.738,0.613,-6.81,0.0649,0.309,0.0,0.139,0.637,90.012,3
220,0.653,0.456,-8.22,0.0331,0.617,7.04e-05,0.101,0.36,103.078,0
221,0.781,0.555,-6.997,0.181,0.00562,0.000142,0.15,0.83,95.009,3
222,0.47,0.661,-6.667,0.129,0.0844,9.88e-05,0.124,0.674,153.304,3
223,0.532,0.583,-6.64,0.272,0.34,0.0,0.121,0.552,70.301,2
224,0.707,0.261,-10.139,0.0784,0.853,0.0,0.127,0.545,65.038,0
225,0.739,0.535,-4.451,0.0424,0.339,0.000219,0.101,0.195,133.009,0
226,0.534,0.821,-7.463,0.107,0.693,1.02e-05,0.078,0.509,111.032,0
227,0.613,0.819,-4.183,0.263,0.487,1.14e-06,0.168,0.615,78.155,2
228,0.795,0.731,-6.056,0.0529,0.381,0.00163,0.0548,0.884,96.161,3
229,0.749,0.849,-5.761,0.0544,0.0299,0.000168,0.115,0.959,145.169,3
230,0.701,0.784,-7.212,0.204,0.128,0.0,0.0713,0.712,145.249,2
231,0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,3
232,0.929,0.463,-8.651,0.308,0.142,5.26e-06,0.0634,0.757,124.084,2
233,0.772,0.501,-9.56,0.421,0.163,0.0,0.0725,0.771,77.882,2
234,0.855,0.473,-9.846,0.146,0.0719,2.71e-05,0.0795,0.682,139.175,3
235,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,3
236,0.776,0.439,-10.099,0.0726,0.249,0.0,0.0968,0.909,145.946,3
237,0.626,0.428,-8.728,0.0281,0.406,4.9e-06,0.189,0.658,82.504,0
238,0.67,0.516,-9.598,0.366,0.0673,0.0,0.0674,0.939,154.186,2
239,0.801,0.641,-9.349,0.173,0.34,4.5e-05,0.0693,0.741,96.96,3
240,0.891,0.399,-10.092,0.348,0.0639,1.93e-05,0.0842,0.821,133.217,2
241,0.67,0.516,-9.598,0.366,0.0673,0.0,0.0674,0.939,154.186,2
242,0.785,0.562,-7.784,0.0514,0.00531,9.36e-05,0.0456,0.614,129.024,3
243,0.624,0.8,-9.432,0.0412,0.0938,0.0531,0.0862,0.647,148.054,3
244,0.595,0.814,-4.516,0.205,0.0802,0.0,0.0898,0.637,78.489,2
245,0.6,0.542,-8.907,0.284,0.0264,0.0,0.164,0.899,75.032,2
246,0.564,0.585,-5.127,0.268,0.115,3.9e-05,0.323,0.67,171.896,2
247,0.809,0.686,-4.347,0.0814,0.0785,0.0,0.373,0.731,86.039,3
248,0.683,0.606,-7.057,0.0476,0.158,0.0,0.11,0.369,131.926,0
249,0.683,0.653,-7.586,0.113,0.0326,8.42e-06,0.0578,0.501,143.224,3
250,0.777,0.418,-8.084,0.112,0.137,0.011,0.263,0.606,73.283,3
251,0.682,0.678,-9.626,0.11,0.2,0.000163,0.109,0.517,175.18,3
252,0.791,0.481,-9.39,0.124,0.0649,1.47e-06,0.0247,0.926,146.032,3
253,0.462,0.918,-6.194,0.0799,0.319,0.191,0.0504,0.871,191.503,3
254,0.824,0.366,-10.96,0.145,0.039,0.106,0.0403,0.895,73.949,3
255,0.78,0.69,-5.482,0.0951,0.216,0.0317,0.206,0.673,140.489,3
256,0.862,0.369,-11.893,0.156,0.862,0.787,0.0962,0.77,78.417,0
257,0.792,0.411,-9.226,0.119,0.0347,1.72e-06,0.35,0.467,82.07,0
258,0.751,0.36,-11.826,0.16,0.179,0.0111,0.0851,0.816,174.596,3
259,0.811,0.575,-8.348,0.185,0.252,1.8e-06,0.0865,0.804,139.899,2
260,0.825,0.481,-7.785,0.0345,0.0261,0.000164,0.0583,0.671,84.328,3
261,0.703,0.336,-15.422,0.334,0.0937,0.0258,0.0447,0.712,73.911,2
262,0.922,0.64,-6.109,0.169,0.0431,0.00029,0.351,0.81,129.861,3
263,0.743,0.569,-10.675,0.266,0.0307,0.00496,0.0717,0.804,144.868,2
264,0.787,0.591,-4.075,0.0875,0.173,0.0,0.0236,0.707,81.025,3
265,0.739,0.431,-11.144,0.0483,0.822,0.795,0.113,0.574,152.062,0
266,0.815,0.521,-7.043,0.0795,0.0658,0.00435,0.118,0.87,84.985,3
267,0.717,0.719,-3.166,0.0995,0.199,2.62e-06,0.195,0.766,84.623,3
268,0.744,0.696,-8.626,0.122,0.0185,1.56e-05,0.0668,0.908,134.566,3
269,0.788,0.281,-14.737,0.136,0.0241,3.18e-06,0.282,0.663,140.489,3
270,0.486,0.677,-5.227,0.0314,0.00252,0.0,0.102,0.913,120.576,3
271,0.654,0.612,-6.855,0.0371,0.000408,0.00013,0.402,0.484,131.964,3
272,0.857,0.486,-10.942,0.137,0.0764,8.53e-06,0.0947,0.616,142.818,3
273,0.789,0.377,-14.566,0.075,0.174,0.000461,0.104,0.784,78.289,3
274,0.774,0.377,-15.876,0.0958,0.102,0.0,0.0608,0.952,139.536,3
275,0.887,0.505,-11.382,0.0583,0.00112,0.0778,0.086,0.821,124.435,3
276,0.749,0.509,-12.671,0.133,0.0122,2.88e-05,0.0745,0.791,77.299,3
277,0.841,0.446,-10.275,0.227,0.197,0.0,0.0296,0.73,145.563,2
278,0.812,0.638,-8.116,0.0612,0.0219,0.154,0.0905,0.905,135.14,3
279,0.572,0.392,-10.555,0.0325,0.778,0.000435,0.15,0.381,128.255,0
280,0.755,0.545,-10.027,0.0646,0.944,0.000118,0.144,0.964,149.807,3
281,0.626,0.604,-7.23,0.142,0.0897,0.0,0.122,0.495,122.943,0
282,0.75,0.298,-16.656,0.254,0.12,0.6,0.147,0.961,125.159,2
283,0.64,0.47,-12.267,0.0447,0.558,0.0,0.546,0.546,96.589,0
284,0.566,0.464,-16.166,0.0498,0.0802,3.71e-05,0.376,0.965,127.638,3
285,0.743,0.562,-9.309,0.0385,0.323,1.94e-05,0.128,0.963,121.253,3
286,0.917,0.394,-9.727,0.263,0.000129,0.0,0.0789,0.691,99.674,2
287,0.908,0.51,-9.235,0.287,0.13,0.00331,0.0747,0.865,98.027,2
288,0.681,0.369,-10.689,0.0292,0.294,0.0,0.101,0.668,88.506,0
289,0.586,0.426,-10.33,0.0689,0.443,0.0,0.17,0.638,177.964,0
290,0.699,0.568,-11.261,0.105,0.379,0.00913,0.336,0.702,96.565,3
291,0.773,0.439,-9.778,0.327,0.424,0.000126,0.0464,0.847,88.364,2
292,0.89,0.643,-7.019,0.0525,0.269,0.0219,0.0569,0.919,126.442,3
293,0.892,0.397,-9.888,0.26,0.00307,0.00118,0.0736,0.748,131.602,2
294,0.671,0.256,-10.743,0.0387,0.608,0.0,0.0737,0.694,115.871,0
295,0.681,0.378,-10.386,0.0357,0.284,7.02e-06,0.125,0.426,90.722,0
296,0.897,0.705,-5.437,0.0771,0.423,2.52e-05,0.108,0.661,100.633,3
297,0.605,0.638,-6.399,0.0816,0.238,8.42e-05,0.312,0.542,73.302,0
298,0.659,0.664,-7.479,0.0675,0.686,0.0,0.238,0.657,113.069,0
299,0.762,0.569,-7.863,0.0544,0.0143,1.45e-05,0.0793,0.789,136.462,3
300,0.762,0.569,-7.863,0.0544,0.0143,1.45e-05,0.0793,0.789,136.462,3
301,0.776,0.559,-8.375,0.103,0.11,0.0,0.0671,0.758,122.242,3
302,0.935,0.479,-10.981,0.306,0.107,5.25e-05,0.118,0.773,123.644,2
303,0.76,0.462,-11.003,0.103,0.621,0.32,0.0758,0.905,146.655,3
304,0.65,0.808,-4.821,0.148,0.091,0.0,0.33,0.298,130.187,0
305,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,0
306,0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,0
307,0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,109.967,3
308,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,3
309,0.365,0.513,-13.034,0.0357,0.0208,0.000147,0.205,0.739,80.647,0
310,0.286,0.5,-14.281,0.0357,0.134,4.57e-05,0.108,0.443,99.162,0
311,0.687,0.793,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,2
312,0.527,0.942,-5.64,0.0366,0.0115,0.0,0.188,0.495,148.723,3
313,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,3
314,0.458,0.843,-7.201,0.0316,0.00135,0.000296,0.778,0.713,105.701,3
315,0.516,0.549,-13.741,0.0373,0.501,0.00572,0.184,0.907,176.941,3
316,0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,0
317,0.744,0.798,-5.981,0.0364,0.175,0.00367,0.26,0.89,125.061,3
318,0.609,0.668,-5.738,0.026,0.195,0.0,0.219,0.319,105.419,0
